Time,Buy Price,Sell Price
2018-02-19T10:00:00+08:00,6.56,6.54
2018-02-19T11:00:00+08:00,6.56,6.54
2018-02-19T12:00:00+08:00,6.56,6.55
2018-02-19T13:00:00+08:00,6.57,6.55
2018-02-19T14:00:00+08:00,6.57,6.58
2018-02-19T15:00:00+08:00,6.56,6.55
2018-02-19T16:00:00+08:00,6.52,6.51
2018-02-19T17:00:00+08:00,6.52,6.51
2018-02-19T18:00:00+08:00,6.52,6.51
2018-02-19T19:00:00+08:00,6.5,6.49
2018-02-19T20:00:00+08:00,6.5,6.49
2018-02-19T21:00:00+08:00,6.51,6.49
2018-02-19T22:00:00+08:00,6.5,6.5
2018-02-19T23:00:00+08:00,6.5,6.5
2018-02-20T00:00:00+08:00,6.5,6.48
2018-02-20T01:00:00+08:00,6.49,6.49
2018-02-20T02:00:00+08:00,6.51,6.49
2018-02-20T03:00:00+08:00,6.5,6.49
2018-02-20T04:00:00+08:00,6.5,6.49
2018-02-20T05:00:00+08:00,6.5,6.48
2018-02-20T06:00:00+08:00,6.49,6.48
2018-02-20T07:00:00+08:00,6.5,6.49
2018-02-20T08:00:00+08:00,6.5,6.49
2018-02-20T09:00:00+08:00,6.49,6.48
2018-02-20T10:00:00+08:00,6.49,6.48
2018-02-20T11:00:00+08:00,6.49,6.48
2018-02-20T12:00:00+08:00,6.49,6.49
2018-02-20T13:00:00+08:00,6.5,6.49
2018-02-20T14:00:00+08:00,6.51,6.5
2018-02-20T15:00:00+08:00,6.5,6.49
2018-02-20T16:00:00+08:00,6.5,6.48
2018-02-20T17:00:00+08:00,6.5,6.5
2018-02-20T18:00:00+08:00,6.51,6.5
2018-02-20T19:00:00+08:00,6.5,6.49
2018-02-20T20:00:00+08:00,6.5,6.49
2018-02-20T21:00:00+08:00,6.49,6.48
2018-02-20T22:00:00+08:00,6.49,6.49
2018-02-20T23:00:00+08:00,6.5,6.49
2018-02-21T00:00:00+08:00,6.49,6.49
2018-02-21T01:00:00+08:00,6.51,6.51
2018-02-21T02:00:00+08:00,6.5,6.49
2018-02-21T03:00:00+08:00,6.51,6.52
2018-02-21T04:00:00+08:00,6.52,6.5
2018-02-21T05:00:00+08:00,6.52,6.51
2018-02-21T06:00:00+08:00,6.54,6.51
2018-02-21T07:00:00+08:00,6.55,6.54
2018-02-21T08:00:00+08:00,6.56,6.55
2018-02-21T09:00:00+08:00,6.57,6.56
2018-02-21T10:00:00+08:00,6.55,6.55
2018-02-21T11:00:00+08:00,6.56,6.55
2018-02-21T12:00:00+08:00,6.58,6.57
2018-02-21T13:00:00+08:00,6.61,6.6
2018-02-21T14:00:00+08:00,6.63,6.62
2018-02-21T15:00:00+08:00,6.59,6.58
2018-02-21T17:00:00+08:00,6.59,6.59
2018-02-21T18:00:00+08:00,6.56,6.6
2018-02-21T19:00:00+08:00,6.57,6.56
2018-02-21T20:00:00+08:00,6.57,6.56
2018-02-21T21:00:00+08:00,6.57,6.56
2018-02-21T22:00:00+08:00,6.57,6.56
2018-02-21T23:00:00+08:00,6.58,6.57
